No Show,Start A,Start B,Start C,Start D,Note 1,Note 2,Note 3,Note 4,Note 5,Note 6,Note 7,Note 8,Auto Amp,Auto Speaker,Left,Auto Score,Tele Amp,Tele Speaker,Subwoofer,Podium,Wing,Outside,Trap,Passes,Climbed,Onstage Order,Onstage 1st,Onstage 2nd,Onstage 3rd,Harmonized With,Harmonize W 1,Harmonize W 2,Buddy Climb,Climb Time,Park,Spotlit,Spotlit 1,Spotlit 2,Spotlit 3,Floor PU,Source PU,Under Stage,Played D,Received D,Died,Tipped,Broke,Ranking,Ranked 1,Ranked 2,Ranked 3,Amplifications,Tele Score Unamplified,Tele Score Amplified,Tele Score Averaged,Total Amp,Total Speaker,Total Notes,Total Unamplified Score,Total Amplified Score,Total Averaged Score
0,8,1,0,3,5,1,0,3,0,0,1,3,0,19,6,107,24,24,8,1,0,0,0,14,8,19,4,1,3,4,2,1,0,87,1,2,2,0,0,11,0,6,2,3,4,0,0,28,2,4,6,10,105,249,177.0,24,43,67,212,356,284.0
0,1,6,4,0,5,6,4,1,1,3,1,3,0,21,8,121,17,40,8,0,2,0,0,9,10,16,6,2,2,10,0,5,0,78,0,0,0,0,0,12,2,6,5,2,0,0,1,25,4,3,5,4,147,318,232.5,17,61,78,268,439,353.5
0,1,6,4,0,2,5,2,0,0,0,1,2,0,20,6,112,38,32,8,0,1,0,0,12,3,15,3,0,0,0,0,0,0,38,3,1,1,0,0,9,3,8,4,6,0,0,0,21,5,5,2,13,114,324,219.0,38,52,90,226,436,331.0
0,6,5,1,0,6,5,4,5,2,2,0,1,0,25,10,145,0,38,11,1,3,0,0,21,0,28,0,0,0,2,0,1,0,3,7,0,0,0,0,11,3,4,3,6,0,0,0,23,4,5,3,1,87,201,144.0,0,63,63,232,346,289.0
0,2,7,3,0,5,2,1,0,0,0,0,0,0,15,5,85,14,55,6,0,4,0,0,0,8,13,4,3,1,4,4,0,0,44,0,2,2,0,0,8,3,6,2,4,2,0,2,21,6,3,3,3,156,363,259.5,14,70,84,241,448,344.5
0,2,10,0,0,7,9,6,0,0,0,0,0,0,30,4,158,0,52,11,0,0,0,0,53,0,32,0,0,0,0,0,0,0,0,8,4,2,1,0,10,5,9,2,4,1,0,0,19,5,4,2,24,112,268,190.0,0,82,82,270,426,348.0
0,0,4,8,0,2,4,0,0,0,3,0,3,0,17,10,105,39,49,10,0,3,0,0,0,6,14,3,2,1,9,3,3,0,38,1,3,1,1,0,11,5,8,3,5,0,0,0,21,4,7,1,14,174,438,306.0,39,66,105,279,543,411.0
0,4,7,1,0,1,6,1,0,0,0,0,0,0,18,6,102,3,38,10,0,0,0,0,27,10,17,7,3,0,5,3,1,0,102,1,0,0,0,0,10,2,6,1,6,1,0,0,23,4,5,3,2,120,243,181.5,3,56,59,222,345,283.5
0,5,2,5,0,0,1,1,0,0,0,0,0,0,12,7,74,26,26,9,0,0,0,0,5,10,16,5,4,1,9,1,4,0,82,0,1,1,0,0,4,10,5,3,5,0,0,0,27,3,3,6,4,126,282,204.0,26,38,64,200,356,278.0
0,8,0,0,4,6,1,1,7,8,5,0,3,0,24,11,142,24,50,3,3,7,0,6,0,4,14,3,0,1,4,0,2,0,130,2,0,0,0,0,11,2,10,2,3,2,0,1,19,8,1,3,14,176,398,287.0,24,74,104,318,540,429.0
0,2,1,9,0,0,2,3,0,0,0,0,1,0,13,9,83,34,28,6,1,3,0,0,1,10,15,6,3,1,7,5,1,0,88,0,1,1,0,0,5,11,8,4,1,0,0,0,29,1,5,6,9,134,320,227.0,34,41,75,217,403,310.0
0,3,5,4,0,2,4,3,0,0,0,1,1,0,19,7,109,7,23,6,0,0,0,0,15,4,18,2,2,0,4,0,2,0,39,3,0,0,0,0,10,2,4,3,3,3,0,0,30,1,4,7,3,76,166,121.0,7,42,49,185,275,230.0
0,2,8,2,0,5,5,4,0,1,0,0,1,0,19,10,115,0,82,10,0,0,0,0,4,8,13,3,5,0,9,5,2,0,83,0,2,0,1,0,10,4,7,2,3,1,0,0,22,5,4,3,3,206,452,329.0,0,101,101,321,567,444.0
0,1,0,2,7,0,1,0,0,0,0,0,0,1,0,10,22,42,0,0,0,0,0,0,10,9,11,7,2,0,7,3,2,0,121,0,0,0,0,0,0,11,1,2,3,0,0,0,31,0,2,9,4,83,209,146.0,43,0,43,105,231,168.0
0,7,0,5,0,0,0,0,0,0,0,0,0,0,10,0,50,3,14,7,0,0,0,0,0,5,17,5,0,0,2,2,0,0,93,3,0,0,0,0,0,11,0,3,2,0,0,0,32,0,4,8,2,53,104,78.5,3,24,27,103,154,128.5
0,6,1,4,0,0,0,0,0,0,0,0,0,0,4,4,28,0,10,6,0,0,0,0,5,4,14,2,2,0,1,1,0,0,74,2,3,0,0,1,0,11,0,3,2,0,0,2,36,0,0,12,6,36,66,51.0,0,14,14,64,94,79.0
