No Show,Start A,Start B,Start C,Start D,Note 1,Note 2,Note 3,Note 4,Note 5,Note 6,Note 7,Note 8,Auto Amp,Auto Speaker,Left,Auto Score,Tele Amp,Tele Speaker,Subwoofer,Podium,Wing,Outside,Trap,Passes,Climbed,Onstage Order,Onstage 1st,Onstage 2nd,Onstage 3rd,Harmonized With,Harmonize W 1,Harmonize W 2,Buddy Climb,Climb Time,Park,Spotlit,Spotlit 1,Spotlit 2,Spotlit 3,Floor PU,Source PU,Under Stage,Played D,Received D,Died,Tipped,Broke,Ranking,Ranked 1,Ranked 2,Ranked 3,Amplifications,Tele Score Unamplified,Tele Score Amplified,Tele Score Averaged,Total Amp,Total Speaker,Total Notes,Total Unamplified Score,Total Amplified Score,Total Averaged Score
0.0,0.7,0.1,0.2,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.2,5.3,0.7,2.2,0.7,0.0,0.1,0.0,0.0,0.0,0.2,1.6,0.2,0.0,0.0,0.4,0.1,0.2,0.0,3.0,0.3,0.1,0.1,0.0,0.0,0.6,0.2,0.6,0.7,0.2,0.2,0.0,0.0,2.6,0.2,0.1,0.8,0.9,6.9,15.4,11.2,0.7,3.2,3.8,12.2,20.8,16.5
0.0,0.0,0.4,0.4,0.1,0.3,0.6,0.3,0.2,0.1,0.0,0.4,0.3,0.0,2.2,0.5,12.2,2.1,4.0,0.8,0.2,0.2,0.1,0.0,2.8,0.8,2.1,0.3,0.2,0.2,0.8,0.1,0.3,0.0,6.7,0.2,0.1,0.1,0.0,0.0,1.0,0.2,0.8,0.1,0.2,0.0,0.0,0.0,1.5,0.6,0.3,0.1,0.8,14.0,32.2,23.1,2.1,6.2,8.3,26.2,44.5,35.4
0.0,0.5,0.2,0.2,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,4.1,0.1,5.8,0.8,0.0,0.2,0.0,0.0,0.1,0.5,1.8,0.1,0.2,0.2,0.8,0.2,0.2,0.0,6.7,0.2,0.0,0.0,0.0,0.0,0.8,0.4,0.4,0.2,0.3,0.1,0.0,0.0,1.8,0.4,0.3,0.2,0.2,14.9,32.7,23.8,0.1,6.6,6.7,19.0,36.8,27.9
0.0,0.5,0.3,0.1,0.0,0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.1,1.3,0.2,7.2,0.0,5.6,0.9,0.0,0.0,0.0,0.0,0.1,0.7,1.4,0.2,0.4,0.0,0.8,0.2,0.3,0.0,9.9,0.1,0.0,0.0,0.0,0.0,1.0,0.1,0.8,0.1,0.2,0.1,0.0,0.0,2.2,0.2,0.3,0.4,0.0,14.9,31.7,23.3,0.1,6.9,7.0,22.1,38.8,30.5
0.0,0.3,0.0,0.7,0.0,0.2,0.2,0.0,0.1,0.2,0.0,0.2,0.4,0.0,1.4,0.6,8.2,1.4,1.6,0.6,0.0,0.1,0.0,0.1,0.3,0.8,1.1,0.7,0.1,0.1,0.5,0.3,0.1,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.8,0.2,0.4,0.1,0.0,0.0,2.6,0.0,0.4,0.6,0.8,8.5,17.5,13.0,1.4,3.0,4.5,16.8,25.8,21.2
0.0,0.1,0.6,0.3,0.0,0.0,0.6,0.2,0.0,0.0,0.3,0.1,0.2,0.0,1.7,0.6,9.5,1.4,1.6,0.4,0.0,0.2,0.0,0.0,1.2,0.8,1.8,0.4,0.3,0.0,0.3,0.2,0.1,0.0,4.5,0.2,0.2,0.1,0.1,0.0,0.8,0.2,0.3,0.2,0.2,0.1,0.0,0.1,2.3,0.1,0.5,0.4,0.9,7.7,16.7,12.2,1.4,3.2,4.7,17.2,26.2,21.7
0.0,0.8,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.3,2.2,1.9,2.4,0.8,0.0,0.0,0.0,0.0,0.8,0.0,2.3,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.2,0.6,0.2,0.2,0.0,0.0,1.0,0.2,0.8,0.1,0.2,0.2,0.0,0.0,2.2,0.2,0.4,0.4,1.4,7.7,20.7,14.2,2.5,2.5,5.0,9.9,22.9,16.4
0.0,0.9,0.1,0.0,0.0,0.2,0.0,0.0,0.8,0.8,0.4,0.0,0.0,0.8,0.3,0.6,4.3,5.2,0.0,0.0,0.1,0.1,0.0,0.8,0.9,0.9,1.0,0.8,0.1,0.0,0.5,0.0,0.2,0.1,16.6,0.0,0.4,0.2,0.1,0.0,1.0,0.0,0.6,0.2,0.1,0.0,0.0,0.0,1.2,0.6,0.3,0.0,2.0,13.2,28.9,21.0,6.0,0.3,7.2,17.5,33.2,25.4
0.0,0.4,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,1.2,0.1,0.1,0.1,0.3,0.0,0.2,0.0,8.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.2,0.0,0.0,2.8,0.0,0.2,0.8,0.2,1.6,1.6,1.6,0.0,0.0,0.0,2.1,2.1,2.1
0.0,0.3,0.3,0.3,0.0,0.4,0.4,0.4,0.2,0.1,0.0,0.0,0.2,0.0,1.7,0.6,9.5,3.9,2.2,0.8,0.1,0.0,0.0,0.3,0.6,0.6,1.0,0.5,0.1,0.0,0.2,0.2,0.0,0.0,9.6,0.1,0.0,0.0,0.0,0.0,1.0,0.2,0.8,0.1,0.2,0.0,0.0,0.0,1.7,0.5,0.3,0.2,1.4,12.2,30.8,21.5,3.9,3.9,8.2,21.8,40.2,31.0
0.0,0.2,0.8,0.1,0.0,0.4,0.7,0.7,0.3,0.0,0.0,0.0,0.1,0.0,2.1,0.3,11.1,3.0,2.4,0.2,0.3,0.6,0.0,0.0,0.3,0.6,1.7,0.2,0.2,0.1,0.6,0.2,0.2,0.0,8.9,0.2,0.0,0.0,0.0,0.0,0.9,0.1,0.7,0.2,0.3,0.1,0.0,0.0,1.9,0.3,0.4,0.2,1.2,10.9,27.2,19.0,3.0,4.5,7.5,22.0,38.2,30.1
0.0,0.7,0.1,0.0,0.2,0.4,0.1,0.0,0.2,0.0,0.0,0.1,0.2,0.0,1.6,0.5,8.9,2.0,2.0,0.7,0.1,0.0,0.0,0.0,1.2,0.7,1.6,0.3,0.1,0.2,0.3,0.2,0.1,0.0,7.2,0.1,0.2,0.2,0.0,0.0,0.9,0.0,0.5,0.2,0.2,0.3,0.0,0.0,2.3,0.2,0.3,0.5,0.8,8.8,20.8,14.8,2.0,3.6,5.6,17.7,29.7,23.7
0.0,0.1,0.5,0.3,0.0,0.4,0.5,0.3,0.1,0.1,0.2,0.1,0.2,0.0,1.8,0.7,10.1,1.4,3.3,0.7,0.0,0.2,0.0,0.0,0.8,0.8,1.3,0.5,0.2,0.2,0.8,0.0,0.4,0.0,6.5,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.5,0.4,0.2,0.0,0.0,0.1,2.1,0.3,0.2,0.4,0.3,12.2,26.5,19.4,1.4,5.1,6.5,22.3,36.6,29.5
0.0,0.1,0.5,0.3,0.0,0.2,0.4,0.2,0.0,0.0,0.0,0.1,0.2,0.0,1.7,0.5,9.3,3.2,2.7,0.7,0.0,0.1,0.0,0.0,1.0,0.2,1.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.2,0.1,0.1,0.0,0.0,0.8,0.2,0.7,0.3,0.5,0.0,0.0,0.0,1.8,0.4,0.4,0.2,1.1,9.5,27.0,18.2,3.2,4.3,7.5,18.8,36.3,27.6
0.0,0.5,0.4,0.1,0.0,0.5,0.4,0.3,0.4,0.2,0.2,0.0,0.1,0.0,2.1,0.8,12.1,0.0,3.2,0.9,0.1,0.2,0.0,0.0,1.8,0.0,2.3,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.9,0.2,0.3,0.2,0.5,0.0,0.0,0.0,1.9,0.3,0.4,0.2,0.1,7.2,16.8,12.0,0.0,5.2,5.2,19.3,28.8,24.1
0.0,0.2,0.6,0.2,0.0,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.4,7.1,1.2,4.6,0.5,0.0,0.3,0.0,0.0,0.0,0.7,1.1,0.3,0.2,0.1,0.3,0.3,0.0,0.0,3.7,0.0,0.2,0.2,0.0,0.0,0.7,0.2,0.5,0.2,0.3,0.2,0.0,0.2,1.8,0.5,0.2,0.2,0.2,13.0,30.2,21.6,1.2,5.8,7.0,20.1,37.3,28.7
0.0,0.2,0.8,0.0,0.0,0.6,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.3,13.2,0.0,4.3,0.9,0.0,0.0,0.0,0.0,4.4,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.2,0.1,0.0,0.8,0.4,0.8,0.2,0.3,0.1,0.0,0.0,1.6,0.4,0.3,0.2,2.0,9.3,22.3,15.8,0.0,6.8,6.8,22.5,35.5,29.0
0.0,0.0,0.3,0.7,0.0,0.2,0.3,0.0,0.0,0.0,0.2,0.0,0.2,0.0,1.4,0.8,8.8,3.2,4.1,0.8,0.0,0.2,0.0,0.0,0.0,0.5,1.2,0.2,0.2,0.1,0.8,0.2,0.2,0.0,3.2,0.1,0.2,0.1,0.1,0.0,0.9,0.4,0.7,0.2,0.4,0.0,0.0,0.0,1.8,0.3,0.6,0.1,1.2,14.5,36.5,25.5,3.2,5.5,8.8,23.2,45.2,34.2
0.0,0.3,0.6,0.1,0.0,0.1,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,8.5,0.2,3.2,0.8,0.0,0.0,0.0,0.0,2.2,0.8,1.4,0.6,0.2,0.0,0.4,0.2,0.1,0.0,8.5,0.1,0.0,0.0,0.0,0.0,0.8,0.2,0.5,0.1,0.5,0.1,0.0,0.0,1.9,0.3,0.4,0.2,0.2,10.0,20.2,15.1,0.2,4.7,4.9,18.5,28.8,23.6
0.0,0.4,0.2,0.4,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,6.2,2.2,2.2,0.8,0.0,0.0,0.0,0.0,0.4,0.8,1.3,0.4,0.3,0.1,0.8,0.1,0.3,0.0,6.8,0.0,0.1,0.1,0.0,0.0,0.3,0.8,0.4,0.2,0.4,0.0,0.0,0.0,2.2,0.2,0.2,0.5,0.3,10.5,23.5,17.0,2.2,3.2,5.3,16.7,29.7,23.2
0.0,0.7,0.0,0.0,0.3,0.5,0.1,0.1,0.6,0.7,0.4,0.0,0.2,0.0,2.0,0.9,11.8,2.0,4.2,0.2,0.2,0.6,0.0,0.5,0.0,0.3,1.2,0.2,0.0,0.1,0.3,0.0,0.2,0.0,10.8,0.2,0.0,0.0,0.0,0.0,0.9,0.2,0.8,0.2,0.2,0.2,0.0,0.1,1.6,0.7,0.1,0.2,1.2,14.7,33.2,23.9,2.0,6.2,8.7,26.5,45.0,35.8
0.0,0.2,0.1,0.8,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,1.1,0.8,6.9,2.8,2.3,0.5,0.1,0.2,0.0,0.0,0.1,0.8,1.2,0.5,0.2,0.1,0.6,0.4,0.1,0.0,7.3,0.0,0.1,0.1,0.0,0.0,0.4,0.9,0.7,0.3,0.1,0.0,0.0,0.0,2.4,0.1,0.4,0.5,0.8,11.2,26.7,18.9,2.8,3.4,6.2,18.1,33.6,25.8
0.0,0.2,0.4,0.3,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.1,0.1,0.0,1.6,0.6,9.1,0.6,1.9,0.5,0.0,0.0,0.0,0.0,1.2,0.3,1.5,0.2,0.2,0.0,0.3,0.0,0.2,0.0,3.2,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.3,0.2,0.2,0.2,0.0,0.0,2.5,0.1,0.3,0.6,0.2,6.3,13.8,10.1,0.6,3.5,4.1,15.4,22.9,19.2
0.0,0.2,0.7,0.2,0.0,0.4,0.4,0.3,0.0,0.1,0.0,0.0,0.1,0.0,1.6,0.8,9.6,0.0,6.8,0.8,0.0,0.0,0.0,0.0,0.3,0.7,1.1,0.2,0.4,0.0,0.8,0.4,0.2,0.0,6.9,0.0,0.2,0.0,0.1,0.0,0.8,0.3,0.6,0.2,0.2,0.1,0.0,0.0,1.8,0.4,0.3,0.2,0.2,17.2,37.7,27.4,0.0,8.4,8.4,26.8,47.2,37.0
0.0,0.1,0.0,0.2,0.6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.8,1.8,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.9,0.6,0.2,0.0,0.6,0.2,0.2,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.2,0.2,0.0,0.0,0.0,2.6,0.0,0.2,0.8,0.3,6.9,17.4,12.2,3.6,0.0,3.6,8.8,19.2,14.0
0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,4.2,0.2,1.2,0.6,0.0,0.0,0.0,0.0,0.0,0.4,1.4,0.4,0.0,0.0,0.2,0.2,0.0,0.0,7.8,0.2,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.2,0.2,0.0,0.0,0.0,2.7,0.0,0.3,0.7,0.2,4.4,8.7,6.5,0.2,2.0,2.2,8.6,12.8,10.7
0.0,0.5,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,2.3,0.0,0.8,0.5,0.0,0.0,0.0,0.0,0.4,0.3,1.2,0.2,0.2,0.0,0.1,0.1,0.0,0.0,6.2,0.2,0.2,0.0,0.0,0.1,0.0,0.9,0.0,0.2,0.2,0.0,0.0,0.2,3.0,0.0,0.0,1.0,0.5,3.0,5.5,4.2,0.0,1.2,1.2,5.3,7.8,6.6
